Judul,ISBN,ISBN Dtl.,Genre
SOUL KEEPING (MENJAGA JIWA),9786021302217,9786021302217.1,
BAHAN PA : MENCARI KEHENDAK TUHAN,9786021854754,9786021854754.1,
JUST DO SOMETHING (LAKUKANLAH SESUATU),9786021854716,9786021854716.1,
MEMBENTUK KEROHANIAN ANAK MUDA,9766029670097,9766029670097.1,
UANG DAN PEKERJAAN,9786021854761,9786021854761.1,
NOT A FAN CU 3,9786021854723,9786021854723.1,
EMOTIONALLY HEALTHY SPIRITUALITY,9786021302040,9786021302040.1,
PA:IMAN,978-602-1302-31-6,978-602-1302-31-6.1,
"JIKA ANDA INGIN BERJALAN DI ATAS AIR, KELUARLAH DARI PERAHU",9786021302286,9786021302286.1,
CALLED,9786021302132,9786021302132.1,
COUNTERFEIT GODS (ALLAH-ALLAH PALSU),9786021302255,9786021302255.1,
SANCTUARY OF THE SOUL -TEMPAT PERLINDUNGAN BAGI JIWA,9786029670042,9786029670042.1,
THE GOOD AND BEAUTIFUL GOD,9786021302095,9786021302095.1,
MOVEMENTS THAT CHANGE THE WORLD,9786021302171,9786021302171.1,
PRAYER,9786021302293,9786021302293.2,
HEALING IS A CHOICE,9786021854778,9786021854778.1,
GODS AT WAR,9786021302002,9786021302002.1,
BAHAYA IBADAH SEJATI - SEBUAH PANGGILAN MEMERANGI KETIDAKADILAN,9789791338318,9789791338318.1,
CRAZY BUSY,9786021302125,9786021302125.1,
THE END OF ME,9786021302248,9786021302248.1,
I AM N (AKU ADALAH N),9786021302354,9786021302354.1,
CULTURE MAKING - MENCIPTAKAN KEBUDAYAAN,9786029670028,9786029670028.1,
EVERY GOOD ENDEAVOR,9786021302057,9786021302057.1,
JESUS CHRIST DISCIPLEMAKER,9786021302163,9786021302163.1,
SACRED RHYTHMS (IRAMA KUDUS),9786021854747,9786021854747.1,
TRANSFORMING DISCIPLESHIP,9780830523888,9780830523888.1,
BECOMING A CONTAGIOUS CHRISTIAN (MENJADI ORANG KRISTEN YANG MENULAR),9786029670080,9786029670080.1,
A LIFELONG LOVE,9786021302118,9786021302118.1,
BOUNDARIES IN DATING (BATASAN-BATASAN DALAM PACARAN),9786021302347,9786021302347.1,
THE RADICAL DISCIPLE - MURID YANG RADIKAL,9786029670011,9786029670011.1,
MEMPERKUAT JIWA KEPEMIMPINAN ANDA,9786021302156,9786021302156.1,
#STRUGGLES (#PERGUMULAN-PERGUMULAN),9786021302279,9786021302279.1,
MURID RADIKAL YANG MENGUBAH DUNIA-CHRISTIAN MISSION IN THE MODERN WORLD,9786021854730,9786021854730.1,
THE EMOTIONALLY HEALTHY LEADER (PEMIMPIN YANG SEHAT SECARA EMOSI),978-602-1302-30-9,978-602-1302-30-9.1,
SACRED COMPANIONS (SAHABAT KUDUS),9786029670066,9786029670066.1,
THE GOOD AND BEAUTIFUL COMMUNITY,9786021302101,9786021302101.1,
ORGANIC DISCIPLESHIP,9786021302194,9786021302194.1,
"GREAT COMMISSION, GREAT COMPASSION (AMANAT AGUNG, BELAS KASIH AGUNG)",9786021302330,9786021302330.1,
CHRIST THE CONTROVERSIALIST,9786021854792,9786021854792.1,
UNFINISHED,9786021302033,9786021302033.1,
THE HOLE IN OUR HOLINESS,9786021302149,9786021302149.1,
SAME-SEX ATTRACTION AND THE CHURCH,9786021302262,9786021302262.1,
WIRED FOR INTIMACY (DIRANCANG UNTUK KEINTIMAN),9786029670059,9786029670059.1,
THE GOOD AND BEAUTIFUL LIFE,9786021302095A,9786021302095A.1,
LOVE DOES,9786021302187,9786021302187.1,
RADICAL (MENGIKUT YESUS TAK PEDULI BERAPA PUN HARGANYA),9786021302323,9786021302323.1,
THE SACRED SEARCH (CU),9786021854785,9786021854785.1,
FOLLOW ME,9786021302026,9786021302026.1,
KARAKTER HIDUP BARU,9789791338943,9789791338943.1,
CHOOSE THE LIFE (MEMILIH HIDUP SERUPA YESUS),9786029670073,9786029670073.1,
THE SACRED SEARCH CU 6,9786021854785.6,9786021854785.6.1,
MENGENAL ALLAH SC PRIBADI,9786020904153,9786020904153.1,
TOKOH PEREMPUAN DALAM PB,9789791338165,9789791338165.1,
BAHAN PA : ESTER,9786021302170,9786021302170.1,
A MEAL WITH JESUS,9786020904252,9786020904252.1,
PROBLEM OF CHRISTINITY LEADERSHIP,9786020904023,9786020904023.1,
KETUHANAN KRISTUS,9789791338134A,9789791338134A.1,
MENELADAN TOKOH PL,9789791338196,9789791338196.1,
PIPA,9789791338851,9789791338851.1,
PEMBINAAN WATAK,9789791338134,9789791338134.1,
PEMBINAAN DASAR BARU,9789791338127,9789791338127.1,
MARIA HAMBA TUHAN,9789791338387C,9789791338387C.1,
XPLORE,9786021302224,9786021302224.1,
KARYA ANUGERAH,9789791338585,9789791338585.1,
GODS AT WAR,9786021302002,9786021302002.2,
LADY IN WAITING,9795422642,9795422642.1,
CINTA ROMANTIS CINTA REALISTIS,9789791338776,9789791338776.1,
MAKIN BERTUMBUH MAKIN JADI BERKAT,9786020904085A,9786020904085A.1,
MESKI GENTAR TETAP TEGAR - REVISI,9789791338257,9789791338257.1,
KITAB ULANGAN,97897913338981,97897913338981.1,
GAMBAR BESAR DARI ALLAH,9789791338974,9789791338974.1,
KOTBAH DI BUKIT,9789791338691,9789791338691.1,
MENJADI SAHABAT,9789791338899A,9789791338899A.1,
SACRED MARRIAGE,9786029254200,9786029254200.1,
GO MOBILIZE (AYO MOBILISASI),9786021302231,9786021302231.1,
AMSAL PA,9789791338387,9789791338387.1,
KERTAS KADO,LAINLAIN01,LAINLAIN01.1,
YOSUA PA,9789791338363,9789791338363.1,
DEVOTION: SACRED PARENTING,9786021854785B,9786021854785B.1,
MEMULAI HIDUP BARU,9789791071039,9789791071039.1,
YAKOBUS PA,9789791338530,9789791338530.1,
MAZMUR: AKRAB DENGAN ALLAH,9786020904108,9786020904108.1,
MENGENAL ALLAH,9789791338905,9789791338905.1,
BUAH ROH,9786020904054,9786020904054.1,
PETA HIDUP BARU KY,9789791338813,9789791338813.1,
EFESUS PA,9789791338028,9789791338028.1,
MEMAHAMI IMAN KRISTEN,9789791338622,9789791338622.1,
SEVEN DAYS THAT DIVIDE THE WORLD,978602185470919,978602185470919,
THE RADICAL DISCIPLE - MURID YANG RADIKAL,9786029670011,9786029670011.2,
FILIPI PA,9789791338899,9789791338899.1,
KABAR BAIK UNTUK SISWA,9789791338912,9789791338912.1,
YESUSISME,9789791338806,9789791338806.1,
NIV STUDY BIBLE COMPACT,9780310437390,9780310437390.1,
DANIEL PA,9789791338608,9789791338608.1,
KONSELING PRANIKAH,9789795423324,9789795423324.1,
PA PENDIDIK,9789791338646,9789791338646.1,
NOT A FAN CU 4,9786021854723.4,9786021854723.4.1,
KINGDOM CALLING,9789791338929,9789791338929.1,
THE RADICAL DISCIPLE NEW COVER,9786029670011.2,9786029670011.2.1,
MENDAPATKANMU DALAM KEHILANGANKU,9799936144,9799936144.1,
CHRISTIAN WORLD VIEW,9786020904238,9786020904238.1,
JADILAH PEMIMPIN KY,9789791338790,9789791338790.1,
GROWING TOGETHER,9789791338745,9789791338745.1,
BEKERJA TANPA KEHILANGAN VISI,9789791338509,9789791338509.1,
MEMULAI HIDUP BARU,9789791338721,9789791338721.1,
DOA : PERJALANAN BERSAMA ALLAH,978979338387A,978979338387A.1,
KESELAMATAN MILIK ALLAH KAMI,9786029670035,9786029670035.1,
DOKTER YANG MEMPERKENAN HATI TUHAN,9789791338493,9789791338493.1,
HATIKU RUMAH KRISTUS,6028139300,6028139300.1,
SKANDAL HATI NURANI KAUM INJILI,9789791338103,9789791338103.1,
MEMANDU BANGSA,9791565376,9791565376.1,
DUKAKU TEMPAT KUDUSMU,9789795422365,9789795422365.1,
DIBERKATI UNTUK MENJADI BERKAT,9789791071020,9789791071020.1,
PROFESIONAL HUKUM,9786020904160,9786020904160.1,
RENUNGA HARIAN EDISI TAHUNAN,6029254596,6029254596.1,
PA NEHEMIA,9786020904177,9786020904177.1,
POLA HIDUP ILAHI,9789791338615,9789791338615.1,
